Id;Name;Parameter;Address;Type
485;Inbetriebnahmedatum Jahr;;GWG_Codierstecker_Jahr~0x1020;1
486;Kesselcodierstecker;;GWG_Codierstecker_Kennziffer~0x1040;1
487;GWG62: Reglerverstärkung KT-Regler;;GWG_Codierstecker_KT_Regler~0x1060;1
488;GWG70: Minimale Kesseltemperatur;;GWG_Codierstecker_KTMin~0x1070;1
489;GWG32: Begrenzung max. Heizleistung;;GWG_Codierstecker_maxHZ_Leistung~0x1030;1
490;GWG30: Begrenzung max. Warmwasserleistung;;GWG_Codierstecker_maxWW_Leistung~0x1030;1
491;Inbetriebnahmedatum Monat;;GWG_Codierstecker_Monat~0x1020;1
492;GWG63: Reglernachstellzeit KT-Regler;;GWG_Codierstecker_N_KT_Regler~0x1060;1
493;GWG76: Nachlaufzeit Interne Pumpe;;GWG_Codierstecker_Nach~0x1070;1
494;GWG65: Brennermindestpausenzeit;;GWG_Codierstecker_Pause~0x1060;1
495;GWG66: Differenztemperatur zum Abbruch der Brennermindestpausenzeit;;GWG_Codierstecker_Pause_Abbruch~0x1060;1
496;GWG67: Temperatur zum Abbruch der Brennermindestpausenzeit;;GWG_Codierstecker_Pause_AbbruchT~0x1060;1
497;GWG74: Kesselsollleistung im SP-Betrieb;;GWG_Codierstecker_PSollSP~0x1070;1
498;Inbetriebnahmedatum Tag;;GWG_Codierstecker_Tag~0x1020;1
499;GWG34: Bauart Umschaltventil;;GWG_Codierstecker_UV~0x1030;1
500;GWG5C: Absolute Begrenzung max. Warmwasserleistung;;GWG_Codierstecker_WWmaxLeistung~0x1050;1
600;Brenner ;;GWG_Flamme~0x55D3;1
601;Flammensignal;;GWG_Flamme1~0x55DD;1
640;Gerät;;GWG_Kennung~0x00F9;1
697;Feuerungsautomat verriegelt ;;GWG_Verriegelung~0x55D3;1
707;Reglerkennung;;GWGReglerkennung~0x00F9;1
708;Aktuelle Betriebsart A1M1;;HK_AktuelleBetriebsartA1M1~0x2500;1
709;Aktuelle Betriebsart M2;;HK_AktuelleBetriebsartM2~0x3500;1
714;Ferienprogramm A1M1;;HK_FerienbetriebA1M1~0x2535;1
715;Ferienprogramm M2;;HK_FerienbetriebM2~0x3535;1
717;Frostgefahr des Heizkreises A1M1;;HK_Frostgefahr_aktivA1M1~0x2500;1
718;Frostgefahr des Heizkreises M2;;HK_Frostgefahr_aktivM2~0x3500;1
729;Heizkreispumpe A1M1;;HK_PumpenzustandA1M1~0x2906;1
730;Heizkreispumpe M2;;HK_PumpenzustandM2~0x3906;1
732;Raumtemperatur Soll A1M1;;HK_RaumsolltemperaturaktuellA1M1~0x2500;1
733;Raumtemperatur Soll M2;;HK_RaumsolltemperaturaktuellM2~0x3500;1
735;Reglervariante A1M1;;HK_ReglervarianteA1M1~0x2521;1
737;Reglervariante M2;;HK_ReglervarianteM2~0x3521;1
778;Heizkreispumpe A1M1 Drehzahl;;HKP_A1Drehzahl~0x7663;1
780;Heizkreispumpe Drehzahl;;HKP_M2Drehzahl~0x7665;1
787;Interne Pumpe Drehzahl;;InternePumpeDrehzahl~0x7660;1
791;(00) Heizkreis-Warmwasserschema;;K00_KonfiAnlagenschemaGWG_W~0x7700;3
802;Mischererweiterung;;K00_Mischererweiterung_KM~0x7700;3
805;(01) Anlagentyp;;K01_KonfiAnlagentypGWG~0x7701;3
818;(06) Kesselmaximal-Temperatur;;K06_KonfiKTMaxGWG~0x5706;3
859;(21) Grenzwert Betriebsstunden Brenner;;K21_KonfiBetriebsstdBrenner_Wartung~0x5721;3
862;(21) Betriebsstunden Brenner für Wartung;;K21_KonfiBetriebsstdBrennerWart100~0x5721;3
863;(23) Eingestelltes Zeitintervall;;K23_KonfiZeitintervall_Wartung~0x5723;1
864;(23) Zeitintervall für Wartung;;K23_KonfiZeitintervallWartung~0x5723;3
865;(24) Wartung;;K24_KonfiStatus_Wartung~0x5724;3
866;(24) Status der Wartung;;K24_KonfiStatusWartung~0x5724;3
867;(24) Wartung zuruecksetzen;;K24_KonfiStatusWartungFunktionReset~0x5724;2
873;(28) Intervallzuendung Brenner alle 5 Stunden;;K28_KonfiIntervallzuendung~0x5728;3
881;(2E) Kennung Externe Erweiterung;;K2E_KonfiKennungAnschluss~0x572E;3
882;Externe Erweiterung;;K2E_KonfiKennungAnschlussD~0x572E;3
883;(2F) Entlüftungs-/ Befüllungsprogramm;;K2F_KonfiEntlueftung~0x572F;3
884;(30) Kennung Interne Umwälzpumpe;;K30_KennungIntPumpe~0x5730;3
885;Interne Umwälzpumpe;;K30_KennungIntPumpeKM~0x5730;3
886;(31) Solldrehzahl Interne Pumpe;;K31_DrehzahlIntPumpe~0x5731;3
887;(32) Einfluß Extern Sperren auf Pumpen;;K32_KonfiExtSperre~0x5732;3
890;(34) Einfluß Extern Anfordern auf Pumpen;;K34_KonfiExtAnf~0x5734;3
897;(38) aktueller Fehlerstatus GFA;;K38_KonfiFehlerByteGFA~0x5738;1
936;(50) Reglervariante;;K50_Reglervariante~0x7750;1
937;(52) Sensor Hydraulische Weiche;;K52_KonfiWeiche~0x7752;3
938;(53) Rangierung Relais K12;;K53_Rangierung~0x7753;3
939;Rangierung Relais K12;;K53_RangierungD~0x7753;3
940;(54) Solarregelung;;K54_Solar~0x7754;3
941;Solarregelung;;K54_Solar_Info~0x7754;1
946;(56) Warmwasser-Solltemperatur-Bereich;;K56_KonfiWW_SolltempBereichGWG~0x6756;3
949;(58) Warmwasser-Solltemperatur 2;;K58_KonfiWW_Solltemperatur2~0x6758;3
950;(59) Einschaltpunkt Speicher;;K59_KonfiWW_EinschaltOffset~0x6759;3
952;(5B) Anbindung Speicher an Hydr. Weiche;;K5B_KonfiAnbindungSpeicher~0x675B;3
957;(62) Nachlauf Speicherladepumpe;;K62_KonfiLpumpeNachlauf_GWG~0x6762;3
960;(65) Bauart Umschaltventil;;K65_KonfibauartUmschaltventil~0x6765;3
961;Umschaltventil;;K65_KonfibauartUmschaltventil_D~0x6765;1
963;(67) WW-Solltemperatur bei Nachladeunterdrückung;;K67_KonfiWW_Soll3~0x6767;3
968;(6C) Drehzahl Interne Pumpe bei WW-Bereitung;;K6C_KonfiDrehzahlWW~0x676C;3
969;(6D) Anzapffunktion;;K6D_KonfiAnzapffunktion~0x676D;3
970;(6F) Begrenzung Warmwasserleistung;;K6F_KonfiBegrenzungWW~0x676F;3
972;(71) Zirkulationspumpe bei Speicherladung 1. WW-Sollwert;;K71_KonfiZpumpeBeiWW_Soll1~0x6771;3
973;(72)  Zirkulationspumpe bei Speicherladung 2. WW-Sollwert;;K72_KonfiZpumpeBeiWW_Soll2~0x6772;3
974;(73) Intervall-Freigabe Zirkulationspumpe;;K73_KonfiZpumpeIntervallFreigabe~0x6773;3
977;Kommunikationsmodul;;K76_GWGiKommunikationsmodul_D~0x7776;1
978;(76) Kommunikationsmodul;;K76_Kommunikationsmodul_GWG~0x7776;3
983;(77) Viessmann - Teilnehmernummer;;K77_KonfiVI_TeilnehmernummerV100_V300~0x7777;3
984;Viessmann - Teilnehmernummer;;K77_KonfiVI_TeilnehmernummerV100_V300_D~0x7777;1
986;(78) LON - Kommunikation Freigeben/ Sperren;;K78_KonfiNVKommunikationLONV100GC1~0x7778;3
989;Fehlermanager der Anlage;;K79_KonfiFehlerManagerV100_V050_D~0x7779;1
990;(79) Zentraler Fehlermanager der Anlage;;K79_KonfiFehlerManagerV300_V333~0x7779;3
993;Uhrzeit auf LON;;K7B_Konfi_FunktionUhrSenden~0x777B;3
995;(7B) Uhrzeit auf LON;;K7B_KonfiFunktionUhrSenden_3~0x777B;3
1001;(7F) Unterscheidung Einfamilienhaus - Mehrparteienhaus;;K7F_KonfiEinfamilienhaus~0x777F;3
1002;(80) Verzögerung Fehleranzeige;;K80_KonfiFehlerDelay~0x7780;3
1003;Uhrzeit vom LON;;K81_Konfi_FunktionUhr_D~0x7781;1
1004;(81) Funktion Uhr;;K81_KonfiFunktionUhr~0x7781;3
1012;(88) Anzeigemodus Celsius - Fahrenheit;;K88_KonfiCelsiusFahrenheit~0x7788;3
